[2024-06-04T17:06:31.545+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:07:31.564+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:08:31.541+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:09:31.547+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:10:31.563+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:11:31.588+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:12:31.603+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:13:31.622+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:14:31.637+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:15:31.651+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:16:31.665+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:17:31.689+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
[2024-06-04T17:18:31.717+0000] {external_task.py:274} INFO - Poking for DAG 'xdag_id_1' on 2024-06-04T16:06:16.024276+00:00 ... 
